C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
JD,7C,4C,8C,6S,6D,7H,AH,8S,5D,Rich,7N,5
9H,7S,AC,7H,JD,JS,QS,TS,KH,JC,John P,7S,8
TH,7S,6C,5S,JH,JJ,KS,8D,8C,7H,kitty,7H,9
KC,KS,4S,4C,KH,JS,5S,8H,9H,QS,kitty,6S,10
KD,7S,QD,4D,7D,4H,KH,TH,5H,6C,jrb,6N,3
4S,8H,8D,AS,KS,4H,7H,JS,KH,TH,John P,7S,7
KC,QS,9H,AH,TC,JS,JC,5H,9D,JD,John P,7C,9
AH,QC,7C,4H,5S,8H,KD,6H,QH,7S,Rich,6H,7
4C,QD,9D,JC,KC,5D,9C,KS,8S,7D,kitty,7C,5
TH,QC,5H,JH,JJ,QD,JC,7H,4H,TC,Rich,6C,8
TC,KC,JC,8H,4C,5H,AH,9D,7C,7S,jrb,7C,9
JH,AS,8D,AH,5S,4C,9H,9D,QH,QS,kitty,6H,6
7H,JD,KH,TC,KS,7S,AD,5S,JJ,QC,John P,6H,9
8S,5S,KS,JD,JH,8H,9C,9S,7D,QD,John P,6D,9
JH,AD,9D,9S,JJ,JC,9C,7C,QS,AH,jrb,8C,8
AH,QS,7C,7S,8S,TD,JJ,6H,TC,JC,Mike,7C,10
KS,6H,4C,5C,TH,6S,KH,AH,QD,7H,John P,7N,4
QH,QS,6C,QC,4S,TC,5C,7S,AS,JC,John P,7S,6
6C,5D,TD,JJ,JH,QC,9D,7C,KD,6H,John P,7D,9
AH,9H,7C,6H,KC,JD,5S,7H,QS,KD,Mike,6H,9
KD,6C,4D,8D,KS,TH,AD,6D,7C,JD,Mike,7D,9
KC,7D,9C,7S,8H,KH,4C,TS,8S,4H,Matt,6H,7
JD,TD,5C,8S,QC,AS,TC,7H,JH,JC,jrb,6H,8
AH,JD,6D,7D,5D,8H,6C,JJ,5H,6S,John P,7H,7
4S,QS,AH,5H,7D,JD,TD,4H,JJ,8H,John P,7H,10
7H,5D,9D,7S,QC,AC,5C,9S,8D,4D,Matt,7N,5
JH,9C,8H,QS,8D,QD,JC,KH,9H,4D,Matt,6H,7
TH,7C,JJ,TD,KC,QS,5C,4S,TC,8C,John P,7C,9
6D,AD,TH,9S,JD,9C,QS,JS,JH,KH,John P,7D,7
9S,JS,5C,KH,7H,5H,5S,TH,8S,JC,Dani,7S,8
AC,9C,7D,7C,JH,QH,7S,KS,9S,5S,Dani,7C,8
JH,9C,8S,QH,JC,KH,AH,8D,JJ,AS,John P,7H,9
KH,8H,5C,5H,7H,QS,JD,7S,6H,8C,John P,6H,7
TH,JC,4D,5C,6D,5S,8C,5D,9H,5H,kitty/rich,7S,7
8C,4C,7C,9S,7D,JS,AS,4S,4D,JJ,Dani,7S,8
8S,7S,6H,5S,QS,5D,JH,KD,QH,7H,Dani,7S,9
JH,4S,QS,QH,9S,JC,6H,8H,7H,9H,John P,7H,8
JJ,6S,KH,4H,QC,KC,5S,QD,6C,KS,jrb,6N,9
TH,4H,8H,KC,8C,8S,4C,JC,9S,JS,John P,8C,7
4D,9D,5H,QD,5D,KD,QS,4C,6H,AH,John P,6N,9
8D,5D,AC,JH,KS,KH,QD,9H,4S,5H,jrb,7H,8
5S,9C,8C,6S,QC,JC,AD,JS,7S,4C,kitty/rich,7C,7
TS,JJ,JH,5D,5C,9H,6D,AH,9S,5H,Little John,8H,7
KD,JD,JH,8H,6S,9H,5H,5C,6H,7H,kitty/rich,7H,8
JS,6H,AH,9C,TS,JD,JJ,QH,KD,QS,Little John,7H,8
6H,7H,7S,4H,9H,TH,9C,JH,KC,AH,Chris,7H,9
TC,KH,QD,AH,8D,5H,7D,JC,TS,6H,AME,6H,7
4H,KD,AH,QD,JD,KS,6C,5C,8D,QS,Little John,7D,8
JJ,5C,4D,AD,AH,9S,JC,8D,4H,8C,Zach,7C,9
AH,6H,8H,JC,AC,JD,8D,JS,9S,9H,Chris,7H,6
9D,TH,JD,QS,TS,TD,9C,AD,QD,8H,Dani,7D,10
5D,QH,7C,AH,TS,9H,AC,JH,KD,AS,Chris,7H,5
8S,JD,TS,6H,JJ,7C,8H,AC,4D,JH,John P,7H,8
9C,QC,JJ,7S,8H,JH,5C,4D,JC,AH,AME,7C,8
KC,AH,TH,6D,5H,QD,7D,4D,JD,8H,John P,8H,8
4D,KH,8D,JD,7C,8H,JJ,QH,7S,6D,Zach,7H,8
8S,TC,4S,AH,JD,QS,7H,5C,JS,AS,Little John,7S,8
QC,7D,KS,AD,9C,KC,5D,JC,4S,7C,Zach,8C,8
AD,8D,TD,4D,KD,5D,9D,4C,QD,6C,Chris,8D,10
AC,9D,TC,TD,9S,7S,AS,QS,9C,5D,AME,6N,6
7D,9C,9H,TH,KC,KH,AD,AC,AH,4D,Little John,6N,5
5C,JC,9C,5D,QD,KS,AS,JJ,4H,7C,Dani,8C,10
TH,AC,7H,JJ,AH,JD,9S,4H,6D,6H,Chris,8H,9
9H,KH,6H,7S,TH,JS,JH,5S,JJ,AC,AME,7H,7
4C,4D,TD,JJ,9H,6C,KS,KD,5S,8D,Matt,7H,5
9D,QH,6C,JJ,AS,9H,KC,JH,8H,9C,Matt,7H,7
JS,4D,AD,9D,KD,6D,JJ,JD,TD,5C,Matt,8D,10
AS,KC,JH,JJ,JD,TC,5D,6S,AD,7C,Chris,8D,9
8D,8S,6H,JJ,TS,8C,5S,AD,KD,JD,Matt,7D,9
AD,AC,AS,8D,JC,4D,JD,KD,KS,QS,AME,7N,7
9D,AH,JD,JJ,AC,5C,QC,8H,6D,7D,Dani,6D,8
JJ,KH,8C,QC,JD,7S,4C,6H,QD,5S,jrb,7H,9
JJ,8D,KD,QS,TC,AD,AH,5C,4C,6C,Matt,7D,7
AS,5S,TH,9S,6S,JJ,AH,JD,AC,8S,jrb,6N,10
AD,KS,JS,JH,7S,6D,8H,7D,QS,9H,Dani,8D,10
8D,5S,JH,9C,6H,4H,4C,4S,7S,KD,Mike,7D,7
6C,5C,AH,KD,4D,JH,7D,QC,9D,4S,Chris,7D,9
4C,QD,AC,AS,9D,7C,7D,JS,QC,AH,Chris,7C,10
AD,AS,QD,JD,QH,AC,JH,4H,6C,9H,John P,8H,9
QS,AH,7H,TC,4C,JH,5D,5H,7D,8C,John P,6H,5
7C,AS,5C,9S,KS,8S,TD,4H,7S,JH,jrb,7H,3
KS,AS,9C,JD,8D,QD,4H,JS,QC,AD,Chris,6N,7
JD,4H,TD,7S,KH,KD,AS,AD,9D,6S,Chris,7D,9
4C,QS,AD,7D,AC,AH,8C,4D,5S,KD,Chris,6N,9
9H,4H,TH,JH,4C,JD,9D,KD,5C,KC,John P,7H,9
JH,JD,TS,5H,AH,JJ,JC,KH,AD,QD,Mike,8H,10
JS,AH,JJ,8D,AD,AC,9H,TH,TS,8S,Chris,7S,10
8H,7H,QC,4S,KD,8S,AD,6C,9D,8C,Chris,7D,7
8H,AH,QD,AC,KH,9S,JC,AS,4S,7D,Mike,6N,8
7C,6D,KC,QH,KD,KH,4H,QC,JH,JJ,jrb,6H,7
TH,6S,JC,JJ,TC,8S,AH,AD,8C,7S,Dani,7C,7
5C,QS,AC,JS,JD,AH,TC,AD,QD,QH,Zach,7N,6
JC,5D,9D,JH,4H,JS,6D,8C,9H,KH,John P,6H,7
8D,5C,4D,QD,JH,AS,KS,6D,JS,JC,Zach,7D,9
9H,4S,4H,6H,7C,JS,4C,QC,AS,QD,jrb,7S,8
7H,TD,KH,JS,9S,QS,AS,8D,AC,TC,Zach,7N,8
5D,KC,AC,QH,JD,9C,6H,TH,5S,6D,Dani,7H,6
JS,6H,JC,TC,7H,JD,TS,KC,8D,9H,jrb,7N,7
6C,TH,JS,KD,8S,4C,QD,QH,QC,JJ,Dani,7D,6
9C,JS,7S,7C,AC,6D,8H,6C,QS,QC,Zach,7C,7
AD,TH,JJ,4D,JD,9C,KC,8D,QS,KH,Dani,7D,10
AD,TC,QC,TH,JD,TD,5S,6D,8H,QD,Zach,7D,6
AD,AS,9D,KD,AH,JD,QS,6H,TH,JH,Dani,7H,10
KS,8H,JS,KD,JD,5D,QC,TD,AH,7D,Zach,7D,9
KH,6C,6D,6S,KD,AS,TS,5S,KC,4D,John P,6N,6
8D,9D,JS,JH,6D,JC,KC,9C,7S,TD,jrb,7C,10
5D,6H,5S,9D,8C,KS,9H,TD,6C,4D,Dani,8H,6
8S,AD,JC,QH,4H,4D,4C,AH,JH,KS,Dani,7H,4
AC,6D,9H,JJ,TH,JD,JS,8S,8D,AH,jrb,7D,10
5S,JD,AD,KC,7C,7S,JH,6C,5C,5H,Mike,6D,9
AC,AH,AS,7H,KH,5C,5S,9H,QC,KD,jrb,8H,8
JJ,6S,9S,KH,8H,TH,5S,7C,5D,9H,John P,6H,5
6C,JJ,7H,7C,5D,7D,6H,9D,JC,KC,jrb,6C,7
4C,AS,6D,5D,JC,TH,AH,8H,QD,TS,Mike,7C,9
6S,5H,9H,7C,JJ,4H,JH,5C,TC,JS,Mike,6H,7
9S,AC,KS,8S,TS,7S,8C,4S,QD,5S,John P,7S,9
QS,TD,9H,7H,8S,7C,4D,TH,JD,JH,John P,7H,5
JJ,JC,5D,4D,7C,TH,AH,6H,AC,JS,Dani,7C,10
JC,AH,4S,8D,8S,JH,6H,AD,7D,9D,John P,6D,9
7D,8C,QS,AD,9D,8H,KS,AS,QC,7H,Dani,6N,8
AS,7D,5S,6D,7C,JC,5C,JH,QC,6S,AME,7S,8
6S,6D,TH,KH,JD,KD,4C,8H,KS,QH,jrb,6H,7
TS,AD,QD,JH,JD,8D,5D,5H,5C,QS,Dani,7D,10
4S,KD,6C,QC,JC,TH,9C,AC,JJ,8S,jrb,6N,5
8D,4D,JD,KH,JC,JJ,5D,8S,TH,7D,Dani,7D,9
AC,AS,7S,AH,JD,8S,TD,QS,5D,JS,Mike,8S,6
8C,9S,JS,QC,AD,JC,4C,QH,4D,6D,Little John,7C,10
5S,4S,QH,7D,5H,4C,6C,7C,KH,8D,Zach,6H,7
7S,6D,KD,AD,KH,5H,8H,JC,5D,9H,jrb,7H,9
JS,4D,7H,JC,6H,9C,8S,KS,8H,KH,Becky,7S,6
6D,8C,9C,9H,JH,5H,5D,JJ,TD,QH,AME,7H,10
5D,JD,5H,TD,AH,7D,9C,9H,5C,JJ,John P,7D,6
9D,KH,AS,JJ,9S,QD,TD,JH,8C,5D,jrb,7D,9
QC,9D,AD,KC,QS,8H,JS,4H,TC,JH,Zach,7N,5
5C,TS,4H,JS,9S,KC,9D,6H,QS,6D,Little John,8C,7
9S,8S,KH,6C,AH,8C,JH,5C,5H,4H,Becky,6H,9
JD,QD,8C,TD,4S,7S,7H,4H,AH,6D,jrb,6D,6
JJ,JC,AD,9S,4H,5S,7H,TS,TH,QD,John P,7S,10
KH,AH,JH,4D,4H,6D,AD,7D,JJ,TS,Little John,7H,9
JC,7S,8H,8S,4S,JS,JJ,AS,4H,KS,John P,9S,9
6C,8D,TH,KC,JD,9C,KD,7D,8H,TD,jrb,6D,8
AC,6H,KC,5S,AH,4H,5D,6S,TD,AS,Little John,6N,6
QH,JH,8C,8D,5H,TD,TC,8H,9C,7H,AME,6H,6
9S,9H,JS,QH,TH,6C,KH,4H,8D,AH,jrb,6N,7
4D,KH,6S,TD,5H,AH,8C,AS,JC,AC,Mike,7C,6
QC,QH,7H,JH,8C,JD,8D,6H,8S,JC,Mike,7H,5
JD,TS,TD,9D,AD,JH,JC,8C,KC,4S,Little John,7D,8
QS,JC,AD,5S,9S,AS,9D,6H,AC,JD,Mike,6N,6
KH,JD,JJ,JS,9C,8C,JC,7S,5S,6S,jrb,7S,10
TD,KC,JS,JC,6S,AH,6D,KD,5D,5H,jrb,6C,6
JJ,7C,QS,AH,KH,TD,4H,7S,6H,JC,jrb,7N,8
JC,JJ,KD,QS,TS,5H,5S,AH,4S,KH,John P,7S,8
AH,QC,QH,KS,7D,QS,KH,8D,TH,AS,John P,7N,6
8S,QS,QD,6S,8H,KC,JC,6C,AD,AC,jrb,7C,7
4S,9H,6H,6S,6C,KS,6D,JS,8S,QH,Mike,7S,6
QS,QH,AC,KH,AH,6C,8H,4S,5H,4C,Mike,6H,7
AH,4S,TS,7D,8H,4D,QH,AS,KS,AC,Becky,7S,8
AC,9D,AS,6D,9H,KC,KS,JJ,QS,6C,Mike,7S,5
6H,JJ,QH,8H,JH,TH,4C,AC,9S,QS,jrb,8H,10
QD,QH,6S,AD,7D,9H,JD,4S,TD,JC,John P,7D,7
AH,KC,9H,7C,5H,TD,JD,6S,JH,KH,John P,7H,7
4H,AC,JD,KD,KH,7H,6S,9D,JJ,QD,jrb,7D,10
AS,KD,7D,5D,AD,5C,8S,7H,KS,QS,jrb,6N,8
AD,KS,9C,JJ,4D,6D,7S,TD,TS,6H,jrb,6N,10
8C,4S,7H,KH,JH,AS,6H,9H,5D,JC,John P,6H,9
9H,7C,8C,6H,QC,6S,JJ,AC,KC,4S,Mike,7C,7
AS,JJ,JS,4S,TD,KS,4H,AD,5S,JC,John P,9S,10
QH,AD,8S,AS,9D,5H,JS,4D,TS,TH,jrb,6S,6
AH,AS,TH,AD,8H,4D,5H,9D,QC,7D,jrb,7N,8
QC,4H,JC,4D,8H,KS,JS,JH,7D,6D,Mike,7S,8
9D,TS,QC,5C,AD,8C,KS,7C,7H,QH,AME,7N,5
8D,KC,9S,4D,7D,5S,AH,TC,AC,JD,AME,7C,8
8C,8S,KH,4H,QC,KD,JJ,5H,QH,8H,AME,6N,8
AC,AS,9S,KS,4C,KD,7D,JJ,AD,AH,jrb,8N,7
6H,JJ,KS,AH,4H,7D,QC,JD,JH,8C,jrb,7H,9
6C,AH,9D,JH,9S,KS,KH,QS,8S,7D,Mike,6H,10
8H,5H,9C,4C,4H,8D,QS,JD,9S,KH,jrb,8H,9
JS,9H,JJ,5C,9S,6H,AC,QH,6C,5D,Dani,7H,9
AH,9H,8H,KD,JS,TS,5S,KH,AC,AD,AME,7N,9
KD,AC,JD,KC,8D,JC,8H,8S,AS,JS,jrb,7C,9
9C,KD,4S,AS,8D,TC,7H,6S,QC,4H,AME,6N,2
KD,JH,AH,4H,TS,4C,7H,TH,9D,8D,Dani,7H,7
JH,AS,5S,JD,TD,AD,4S,KD,QC,4H,Dani,8D,7
JJ,7H,JH,QC,QD,KH,AH,TD,5D,9D,Dani,7H,9
QH,KS,JD,9D,8D,7S,JH,TD,7D,6C,AME,6D,9
KS,5H,4D,JH,JD,5C,TD,8D,JJ,TC,jrb,7D,9
TH,5D,TD,6C,7C,7H,6D,JH,9S,QD,John P,,7
TS,KS,TC,AH,JH,9H,KC,6H,8H,KD,John P,7H,6
JH,JJ,KS,7C,QD,5D,AS,4S,9S,JD,jrb,8D,10
KS,7S,QC,AC,9C,7H,JS,7D,8C,4C,Mike,7C,9
JD,TS,QC,8D,JC,6S,8C,7D,8S,6H,Mike,7S,7
TH,7S,KH,TC,6D,QH,AC,8C,AH,8S,Mike,6N,7
7H,5S,5C,7D,7C,QC,6H,KC,KH,8C,Becky,7C,10
5H,4S,4D,JD,4C,TC,5S,4H,AH,7H,jrb,6H,9
AH,TS,AC,AD,5S,KS,7D,JD,7H,5H,Mike,6N,6
8D,4S,AS,QS,6S,TC,JS,5D,JC,5C,Mike,8S,8
TC,9H,5C,TD,AS,QD,8C,QC,6D,7C,Mike,7S,8
QS,8C,8S,4C,JJ,KH,AC,TC,7S,JH,jrb,6H,4
TD,4S,8S,5H,KC,7H,JJ,AC,JS,QS,jrb,7N,7
AS,JJ,TC,KS,JH,8C,5S,4D,TD,AD,kitty/rich,6D,9
8C,6S,5C,5D,TH,8H,7S,KS,JS,JJ,John P,8C,8
AD,AH,AS,JD,QS,8S,5H,6C,KS,6S,kitty/rich,6N,9
TD,KH,6S,8H,KS,5H,JH,5C,AD,AS,jrb,7H,8
AD,TS,QC,5D,QD,4C,KS,7C,KC,JH,jrb,6D,6
8D,JH,5H,TC,9H,9C,4S,QH,AC,JD,jrb,7H,10
4S,9D,9S,QH,KD,7H,JH,7D,JJ,8H,AME,7H,9
9D,9H,6D,5C,8D,8S,TS,AH,4C,JD,AME,7D,8
JH,TD,JC,QS,8H,KH,4H,9H,AH,5C,jrb,7H,8
AH,TC,QS,6C,4S,KC,8S,JH,7H,KD,Mike,6H,6
TS,JC,8S,4D,5C,4S,7C,KC,QC,AC,kitty,8C,9
7C,5C,AC,8S,JS,JJ,KH,6D,6C,4C,kitty,8C,7
JC,KH,4H,TC,JS,9D,TH,AH,5D,QH,jrb,7H,8
AS,JH,7D,6D,QC,KC,AC,5D,KH,7S,jrb,7H,6
JJ,AD,5C,KH,KS,7C,AS,9D,JS,QC,John P,7S,7
JD,8H,JH,QH,AH,8S,JS,KD,5S,8D,John P,6H,9
JD,7S,6S,QH,9S,AH,5H,AC,QC,8S,kitty,6H,9
7H,TH,5H,KH,9H,KS,5S,QC,JD,6H,kitty,6H,9
8D,JD,7D,5S,KH,JH,TH,JC,5D,AC,jrb,8D,9
4C,JC,TH,6S,KC,AH,8H,6H,KH,JD,jrb,7H,8
8C,JH,QC,QD,6S,4D,AC,9H,TD,8S,Zach,7D,8
9S,8C,8H,5H,5D,JC,6C,JH,7C,AS,jrb,6C,5
6S,JD,7D,JH,9H,9D,QS,8C,QC,AD,jrb,6D,7
TS,AS,9D,5C,TD,QD,7H,JH,7S,AD,Mike,7D,8
KS,7C,JS,4H,JH,JJ,QH,9D,5D,4C,Zach,6H,10
9D,JJ,5C,TD,4D,AH,4H,JH,7D,8S,jrb,6D,9
4C,4D,5D,6C,5C,AC,QS,KD,6D,QC,Zach,7C,6
JH,JC,7H,7D,TH,JD,8S,9D,QC,AD,jrb,7D,7
JC,5C,6D,AH,7C,8C,TC,6C,TD,4C,jrb,8C,7
TH,AD,6C,QS,KC,9H,7H,KH,JS,5C,Zach,6C,9
7C,AH,7H,AC,KD,QH,JD,JC,6C,8S,jrb,6C,8
AH,9C,JJ,JC,QD,6C,9H,TD,TC,8H,jrb,7C,7
AC,5D,AS,5H,4C,7H,JS,6S,AD,AH,Mike,8S,8
7D,JJ,8S,8C,5H,TC,JD,8D,4C,AD,John P,7D,8
5C,9D,8S,4C,7C,6D,7D,4D,8H,KD,Zach,6D,7
AC,JJ,6C,9D,JH,4H,QD,KS,4D,5D,Zach,7D,10
8S,AH,7H,AD,4D,4H,5H,JD,JC,QH,Zach,7H,9
AS,TC,JJ,QD,7S,7H,KC,JC,5D,QC,Mike,8C,8
QC,JC,TS,4H,AD,5C,7D,8C,6C,9D,jrb,8C,8
8H,4C,8S,JJ,JS,AH,9C,KC,7D,QH,jrb,6N,8
TD,8D,5S,6D,KC,JS,7D,JD,AD,TH,Dani,7D,8
QS,AH,TH,7S,5D,TS,7C,9C,4S,JS,Dani,7S,6
8C,7D,AH,JJ,KH,9S,KC,6H,7S,AD,Dani,6N,9
QS,KD,8S,5D,JJ,AS,TH,JC,AH,JH,Dani,7S,10
5H,6H,JS,KH,9H,JD,7C,5S,QH,KC,jrb,8H,7
QC,KD,JS,6D,TH,JJ,9S,4C,6H,KH,Dani,7C,6
5H,5D,4S,6C,9H,7S,JJ,JH,5C,4D,jrb,6H,6
5S,5H,AC,JC,7S,JS,KH,7D,9H,KS,John P,7S,9
TC,AC,JD,KD,AS,4C,TH,5S,QC,7S,Dani,6N,9
JJ,6S,4S,JS,9D,4H,5S,QD,JH,KD,John P,6D,8
4S,TC,7S,7D,KH,QD,JH,TD,7H,JD,John P,7D,8
7D,5D,AS,9H,7S,TD,JH,JD,KH,QS,Mike,7H,8
QD,JJ,9C,6D,6H,TD,7D,TS,KD,7S,Mike,7D,8
QD,9C,8D,6D,JJ,4H,AH,TD,9S,JS,Little John,6D,9
5C,6D,JJ,6C,5S,JH,AH,4H,5D,9D,Little John,NL,0
6S,AH,6H,6C,KC,JH,9S,9C,4S,QC,Little John,7H,6
6C,JC,8H,6H,6D,5S,JJ,TC,5D,8D,Dani,7C,7
QD,4D,6S,JD,QC,8H,AH,9H,4H,JC,Dani,7H,7
6C,TD,QC,8H,KH,AD,7D,6H,9D,QH,Little John,8D,8
JS,KD,7D,9D,9C,4D,6D,4H,JD,4S,Dani,7D,8
AH,4H,5C,8C,9H,5S,JD,9D,QD,JJ,jrb,6D,8
5S,TC,QD,7S,TS,TH,QC,8S,JJ,QS,Rich,7S,5
QC,JS,TS,QH,TD,AD,5D,JD,6D,7S,John P,7D,6
AS,KS,TH,6C,JH,4S,4C,QC,AC,4D,John P,NL,2
TS,5D,JS,4C,JJ,AS,AD,6D,5H,JC,John P,8S,9
AC,QD,JJ,QS,8S,9C,AH,QC,JS,TH,Mike,7C,9
TS,7S,KS,6H,9D,JS,JJ,7H,AS,JC,Mike,8S,8
7D,9D,6D,QS,8D,4S,8H,TH,8S,AC,Mike,7D,7
9H,JJ,6S,QD,TS,KS,5S,7S,AS,4S,John P,8S,9
4D,QH,8D,7H,5H,8C,JH,QC,5D,6H,Zach,7H,8
8S,JS,6S,6C,9S,5D,QS,KS,4D,4S,jrb,8S,7
5H,5C,9D,KD,7C,6H,QH,JJ,5S,QS,jrb,6N,7
JD,7D,JH,9S,KH,JC,9C,4D,QH,KD,John P,7D,8
4C,8H,JC,9D,QC,6H,JS,AC,4H,5S,Zach,6C,8
6H,AC,JJ,4S,TS,8D,6C,TC,KC,9D,Mike,8C,8
8H,JH,8D,JD,6S,AC,JC,QD,TC,8C,jrb,7D,6
9S,8C,9D,4D,QC,5H,7D,5D,9C,KC,jrb,NL,0
9D,TC,JC,JD,7S,KC,KH,8S,JJ,8D,Mike,7C,7
JH,QH,JJ,JD,TS,7H,QC,KH,8D,8S,John P,7H,10
9C,9S,5D,JJ,8D,AC,KC,JD,AD,TD,Rich,6D,9
7D,JJ,AH,AD,QH,6C,5D,6D,8D,4S,John P,NL,0
7C,TC,9C,8H,KS,6C,4S,5H,8C,4H,jrb,NL,1
AD,KH,JJ,JD,4C,8S,KS,QH,5S,5D,John P,6D,5
JD,4S,8S,5H,QC,6S,6D,TC,8H,7H,John P,NL,0
KC,JC,JS,4D,5S,TH,6S,8H,6C,JJ,Mike,8C,9
7H,AS,JC,AH,5D,KH,4H,TD,TC,7D,jrb,6C,3
AS,TD,KS,QH,9C,TS,AC,8C,TC,QS,Mike,7N,7
KH,JH,AC,9C,JC,8C,AD,QH,KD,4D,AME,7N,5
JS,5S,4C,7H,JH,8S,AC,JC,TC,7C,jrb,7C,8
TS,6D,JC,JD,5H,6S,KD,5D,AD,4C,John P,NL,0
AC,TH,TC,7C,JD,7S,7H,QD,AD,AS,Mike,7D,5
JJ,8D,5C,4S,TC,6C,4D,KS,AH,JS,Zach,7C,7
8S,JH,9S,4S,JC,7H,9D,7D,9H,JJ,Zach,7S,9
6C,AS,8D,JJ,AC,KS,8S,JS,8C,TH,kitty/rich,7S,9
AH,KD,8D,JJ,JD,KC,KS,TS,QD,6S,Mike,7D,10
JH,7S,5D,QS,JC,TC,6D,8C,9H,7D,Mike,7D,6
9S,8S,AC,4S,TH,AS,QC,5D,4C,9C,kitty/rich,6N,4
AH,8S,JD,KS,AS,TH,6S,QS,4S,JC,Mike,7S,10
5H,6D,TS,7S,AD,JC,AH,KC,5D,KH,Zach,6N,7
JH,JJ,TC,8D,TD,8C,AD,4C,5C,4S,Mike,7D,8
AD,5H,TH,JS,JH,6D,8C,9D,QD,AS,Mike,7D,10
6H,JD,9D,JC,8D,9S,KH,QC,KD,AC,Zach,7D,8
6H,AD,AH,7C,JD,8S,JC,JH,4H,TD,jrb,7H,10
5D,TS,KD,AS,QH,8C,AD,QD,7S,6C,John P.,7N,7
AH,JC,8H,9H,TS,6H,7H,QD,KH,JH,AME,7H,8
7D,7C,6H,KS,QH,7S,QS,AS,JS,5S,Zach,7S,9
9D,5S,4H,QD,6S,8D,9H,4S,AD,8S,Zach,NL,0
JC,7S,QS,AS,4S,4H,8C,5S,JD,8S,Zach,7S,8
4C,JH,7D,9S,TC,5C,QD,AD,JJ,5D,Zach,7D,10
9D,9H,4H,5C,JS,8C,7S,KD,7C,5D,John P.,8N,8
JS,QH,8H,JH,JJ,5D,7C,AS,7H,KH,Zach,7H,10
5H,JC,9H,9D,5S,TD,KS,6D,9S,AH,jrb,8S,8
7D,8H,TS,5S,AS,KS,AD,4D,9C,QS,Mike,7N,10
9C,6D,4H,5C,8D,JC,8C,JJ,7C,JS,jrb,8C,9
6D,4D,KD,4S,JH,QD,5D,QC,9D,8S,John P,7D,9
9D,4D,9C,KS,QD,TS,TD,KH,AD,AH,jrb,7D,9
JC,6D,8H,6H,JS,TH,QS,AD,7C,4S,Mike,8S,9
TH,QH,KH,TD,AH,4H,KS,6S,8H,AS,Zach,7H,7
4C,JJ,8H,TD,5S,8S,7S,JS,KC,4S,Mike,7S,9
