C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
QC,KD,JS,7S,QS,6D,4C,QD,5H,9C,Zach,8S,4
TS,QH,7C,KD,9D,9C,6D,TD,6C,4D,jrb,NL,2
5D,AC,QH,7D,6H,9H,8D,7S,7C,5S,jrb,NL,3
JH,AH,JS,TS,QD,QH,8C,6C,AD,7C,AME,6H,6
JS,5D,QC,9D,5C,4H,7S,QS,JJ,QH,Mike,7S,9
JJ,TC,8C,5H,4C,5C,KH,8H,7H,KC,jrb,7N,8
9C,4H,AD,QH,KC,4S,6C,AC,9S,QD,AME,6C,8
QH,JJ,6C,KD,9D,9S,AS,4C,7H,8H,Zach,6H,8
JJ,QD,9D,8C,AS,QH,JD,AD,9S,AH,Dani,7D,9
QH,4H,4D,5H,TD,7D,4C,6H,JS,KH,John P,NL,0
JH,JD,JJ,6D,QD,KS,8D,5D,9S,5H,Mike,8D,9
7D,4C,TH,JJ,8D,9H,QH,AS,6H,AC,Mike,6N,6
JD,QH,9D,JH,8H,JJ,QC,AH,JS,8D,Mike,8H,8
9S,7S,TH,6D,JC,JD,JS,5D,AS,KC,Dani,8S,10
5C,JS,JD,7C,AD,8D,JH,JC,QS,9D,John P,7D,9
JD,4C,6C,9H,JJ,JS,JH,4S,5C,TC,jrb,7C,8
KS,6D,5D,QC,QS,9H,JS,QH,AS,AC,Zach,7N,6
5H,7S,JD,KC,AH,KH,5D,KD,TC,8C,becky,8H,7
JC,JD,QD,KD,8D,7H,6D,4D,TC,5D,becky,8D,8
JH,QH,7H,JC,JD,4C,6S,5H,AS,6C,Zach,7H,9
8S,JH,JD,KS,9C,AH,JJ,AC,QH,TH,Zach,8H,10
JH,6C,7H,4D,4H,7S,5H,AS,7C,4S,John P,NL,0
7D,9H,4S,7H,5C,TC,JJ,6S,6C,KH,Mike,8H,7
6S,9S,6D,7D,4D,8C,8D,9H,KH,6C,jrb,NL,0
9H,KS,AS,TD,KC,TS,TC,JD,JH,KH,AME,7H,8
AH,JC,KH,5H,9C,7H,9D,6D,8S,8D,AME,6H,5
9C,7S,6H,8S,5S,5C,9H,5D,QS,4S,jrb,NL,0
JJ,JS,9C,6S,8S,AH,7D,QS,4S,TS,John P,9S,9
9D,8H,4D,JJ,JS,TD,AC,AS,6H,7D,Mike,7D,10
8H,7H,7C,AC,8S,JD,AD,5H,9C,4H,AME,NL,0
KC,5H,8S,TH,4C,4H,6H,AD,JC,TC,Mike,NL,0
TH,8H,7H,KH,6C,6D,9H,KS,TS,JJ,jrb,6N,9
4S,KS,4H,5D,6S,8H,8S,TD,JC,4C,AME,NL,1
JD,KS,JS,8S,4C,AC,QD,4D,AS,KH,Mike,7S,8
JS,JJ,KS,KC,9S,9C,6D,QS,4C,8S,jrb,8S,10
9D,7H,6H,6S,KS,5C,9S,9H,6C,8D,Mike,7S,6
7C,AD,7S,JH,9H,9D,JJ,KD,5C,4D,Becky,7D,10
KS,7D,KD,AC,AD,AS,AH,JS,5C,TS,John P,7N,5
AH,JD,5D,8H,6S,AS,8C,QH,6D,TH,jrb,7H,7
KS,5S,KC,9C,6C,QH,JC,KH,5D,AS,Mike,8C,7
7H,9D,8S,5H,JD,QH,TH,QS,JS,8H,jrb,7H,5
7S,8D,6S,5D,4D,5H,7D,6D,AD,4H,Zach,NL,0
TD,6H,KD,7C,8C,QS,7S,AS,AC,QH,Zach,6N,7
JS,8D,TC,6D,QC,7S,JJ,KS,9H,6C,Zach,8S,10
7C,4H,6C,AS,8D,9S,QS,5C,JH,KC,jrb,6H,9
AH,KH,6S,JJ,6D,TC,KD,5D,9S,AD,John P,6N,10
TH,4S,9S,7D,8C,KH,7S,7C,AH,9H,AME,6H,6
9H,JC,6S,TC,JS,JJ,QD,7C,4D,6C,jrb,8C,9
5H,9C,JJ,4H,QC,9H,AD,6S,8S,TH,jrb,6N,6
QS,TH,AC,7D,JH,QD,TC,JS,KD,AD,jrb,7D,7
QH,KD,JC,AC,7D,7S,5S,AS,AD,KS,John P,7N,8
JC,QS,KD,TD,QC,AC,TH,JJ,QH,8S,jrb,8C,9
6D,8H,4D,8D,9D,KC,AD,8C,TD,8S,AME,NL,0
9H,7C,5D,5H,6H,JC,AS,KD,TS,AD,Matt,8S,10
QH,JS,4H,JH,JJ,6S,8S,7C,5S,5D,Dani,7S,8
AS,9S,JJ,TC,5C,7C,8D,5H,KC,AD,jrb,8N,10
6D,JJ,KH,TD,7C,7D,QS,5S,7H,JS,Matt,7S,7
9H,AH,7H,7D,6S,5D,QD,KS,5H,JJ,Matt,7H,8
AD,8D,9C,QH,AC,7D,7C,5D,JJ,5H,John P,6N,7
AS,TD,4S,6C,JD,5H,4C,TH,KH,5D,Dani,6H,7
KD,9H,6H,TH,8H,7S,JH,9S,KH,TS,Dani,7H,5
QS,7D,JJ,AC,AS,5C,QC,QD,7S,AD,John P,6N,9
5C,JS,KS,7D,4C,4D,8S,JD,7C,TD,Dani,7S,10
4S,QH,5S,9C,JD,JS,4C,6S,4D,7D,John P,NL,1
4D,5S,QH,TH,JD,TC,4H,6D,5C,9C,jrb,NL,0
4D,JH,QC,6D,5S,8D,JD,AD,7S,KD,Dani,8N,10
9H,5C,6H,4H,8H,7S,4S,5S,4C,AD,John P,NL,0
9C,TD,4C,AD,7D,KS,TH,7H,AC,JJ,Mike,7D,6
TS,6H,AS,TD,TC,QS,7S,4C,6D,JS,jrb,8S,8
8C,7H,7C,AS,9C,TC,JC,8D,QC,QS,Becky,8C,9
JD,9D,KD,8D,AS,JJ,TD,KC,QH,7C,jrb,8D,8
6C,AC,6S,KD,5C,9D,AH,6D,JH,4H,Mike,7D,6
7C,AH,4C,AD,AS,6S,5H,9C,KS,9S,Mike,6N,5
6D,JJ,5C,7D,QC,4H,JS,5S,4S,KC,Becky,7C,9
8D,JC,QS,JJ,6H,KS,AS,KH,9C,JS,Little John,8S,10
QS,6H,9S,TD,TS,JJ,7H,AH,8C,JC,Mike,7H,10
KH,JH,JJ,4D,TS,KS,8S,AD,5S,JD,Mike,8D,9
TS,AS,KS,KD,QC,9D,7C,4D,AD,JD,jrb,7D,10
KS,AS,JS,7S,AD,JD,QS,5D,TC,8C,Mike,8S,10
QC,AS,8H,KD,KH,8S,8C,6S,JJ,JS,Little John,7S,10
KS,9H,6C,JH,8C,JS,AH,KH,6H,4S,jrb,7H,8
6S,9D,TD,TC,6D,AC,4H,5D,JS,KD,Little John,8D,7
QD,9D,7C,4C,AD,KH,7D,5D,9S,AC,Little John,7D,8
5S,9S,7S,JD,JJ,JC,4S,8C,KH,KD,Zach,TS,7
AS,6D,9S,JD,4H,AH,TD,KD,8D,QC,jrb,7D,10
TD,5C,8H,5H,KC,AC,KH,QH,JH,8D,AME,7H,7
7C,JJ,JH,AD,4C,8D,6H,8C,7H,AC,John P,6H,8
7C,8C,KH,8S,9D,4C,JS,QD,6D,QH,jrb,7S,8
5H,TD,8H,5D,TS,KC,7S,KH,QS,JJ,jrb,6N,7
4S,7H,JD,9S,8S,KC,7D,QS,AD,9D,John P,7D,6
8H,5S,KS,6S,AS,KD,6C,4C,TH,AD,Chris,6N,8
4C,4D,JH,AC,QH,TH,JS,9C,JJ,KC,Chris,7C,9
KC,9H,TH,AS,JJ,8S,5S,KH,5C,6H,Mike,7H,9
TC,9S,6D,TH,KS,6C,QS,JC,6S,7S,Mike,8S,7
JD,JJ,5C,JS,8D,AH,6H,QD,4H,QC,jrb,7D,10
JH,5C,KS,6H,KC,7S,AH,8C,Jr,KD,John P,6H,7
7D,7S,QD,Jr,5S,6D,QH,8D,JH,JS,Mike,7D,10
9H,5C,4C,TC,6S,6D,8D,5D,AS,Jb,Chris,Nl,0
5S,8S,8D,JD,4S,9H,KC,4C,7D,JC,Chris,7C,6
Jb,5H,5D,7D,9D,6S,QC,KC,JH,7S,jrb,6D,8
Jr,AS,4S,TS,7C,5D,AH,7D,8C,9C,Chris,7S,8
6D,7H,AD,8C,JD,TD,9C,8D,AH,5D,Chris,8D,9
JD,5S,9S,6H,AD,5H,5D,TH,4S,JJ,John P,Nl,2
4S,7S,TD,4C,6C,8H,5C,8C,7H,9C,Zach,Nl,0
9C,JD,KH,QC,4C,5C,4D,4S,9H,8C,John P,Nl,0
8D,4H,TC,5D,AS,7S,9S,4D,JJ,JS,Mike,8S,8
4H,7D,7S,JJ,JS,KS,7H,9C,5C,9D,Mike,8S,7
KH,JC,4D,4S,AH,AC,8S,4C,9H,QC,Mike,6C,8
AH,QH,8D,7D,TH,8S,JH,KS,9C,KH,kitty,7H,7
9H,JH,9D,9S,JD,9C,4C,AC,KS,7S,Mike,7H,5
KC,KD,JD,AH,8D,7H,AC,TS,QS,8S,jrb,6N,6
8C,JD,4H,7H,5C,TH,KH,4D,6S,6H,jrb,7H,6
JS,7C,AD,AH,QH,QS,JD,7D,4H,6H,kitty,7H,7
4S,5C,JS,7C,JJ,QD,QC,6C,5D,AC,Mike,7C,7
4S,JD,AH,KD,4D,AC,5H,7S,KH,KS,jrb,6D,7
7D,4S,TD,JD,6C,TC,9C,AH,6D,KS,jrb,6D,9
7H,5H,KH,9H,KD,KS,4C,QH,9C,TS,John P,No,0
JH,6C,6S,QH,5S,6H,JD,9S,QD,AD,jrb,7D,6
AS,9C,4C,JC,5S,7C,AC,7S,JD,JS,John P,8C,10
AS,6C,5H,4D,7H,KH,AD,QH,9S,KS,jrb,7N,8
7D,5D,TH,TD,7S,4D,JD,AC,AD,8D,Chris,8D,7
JH,7H,4S,KD,JJ,6D,8D,QC,TH,QH,Chris,7H,10
TS,JS,KC,QD,KS,5S,7D,4D,JJ,5D,John P,7S,9
5H,6S,JJ,TD,7H,QS,4H,8C,AD,AH,Mike,6H,9
6S,4H,AH,6D,7H,9C,8D,6H,KD,7D,Chris,No,0
JH,JC,5H,5D,4C,6S,JS,TS,4D,KD,jrb,7S,8
QD,JS,TH,AS,6D,JJ,8C,JC,6S,AD,Becky,7N,10
JS,JD,4H,9S,TC,4D,QH,9H,6H,KH,Mike,7H,4
KS,9H,JC,QC,JJ,8S,7S,AS,5H,4H,John P,8S,5
4C,9H,9D,KC,AS,6H,TD,QC,7C,AD,Becky,7N,2
JC,AS,4H,9C,JS,8H,AH,7D,QS,4C,Mike,7S,9
KS,6S,6H,AS,QS,8H,JJ,TH,7C,7H,Mike,7N,9
AD,TC,4S,QS,7D,KC,8H,TH,JJ,KH,jrb,6N,4
AD,AH,6D,8D,7D,6C,5S,JH,7S,JJ,jrb,6N,9
TH,AD,KS,6D,5D,JJ,JD,7H,8D,TC,jrb,7D,8
7H,4C,TH,8H,6C,TC,QH,6S,8D,5C,Chris,7H,4
QS,7C,5H,QH,KH,KS,8S,AC,JJ,KC,Chris,7N,8
QD,5H,AC,9C,5C,4C,4D,8S,TD,6C,Little John,No,0
8D,6C,7S,5S,JJ,5C,KD,8H,4S,7C,jrb,6N,8
QD,KD,AC,KH,QH,QC,QS,TS,9S,6S,Chris,7N,10
JC,4S,9C,5H,JH,4C,5D,JS,4H,KD,jrb,8C,5
8D,5D,QC,8C,AD,QS,5S,JC,7C,6C,Chris,7C,9
7S,QD,AC,JH,6C,AH,7H,7D,5H,TD,Chris,6H,6
8H,8D,KS,JD,TC,KH,4D,AH,6C,JH,jrb,7H,8
JH,8D,9H,5D,KD,AC,7S,6C,7C,QD,John P,7D,6
8S,AC,AS,5C,7S,KS,QS,KD,TC,4S,jrb,7N,9
8H,JD,QH,7H,9H,KH,AS,4S,KS,TH,Mike,8H,8
QH,4S,7H,TC,JS,TD,QD,TH,AS,JC,Mike,7S,5
QH,JC,AS,JD,4D,6H,AD,9C,QC,AC,Mike,7S,8
QC,6H,TH,7S,QS,JC,KC,4D,AC,6D,jrb,8C,8
QD,4D,7S,JD,AD,8S,6D,AH,AC,JJ,John P,7N,10
9D,KH,5H,JS,QH,8H,9S,KC,6C,4H,Mike,7C,8
9D,KH,6D,7D,4D,5D,QC,7H,8C,8S,Mike,Nl,0
AS,JJ,JS,KS,8C,QC,6C,9D,TS,QS,Zach,8N,10
JD,AH,KD,QD,7D,8C,QS,AC,8S,4C,jrb,7D,5
9H,QS,KC,JJ,5H,AH,4D,6S,7C,JD,Zach,7H,9
4C,6D,4H,6H,TS,5C,AH,6C,8C,7D,Zach,Nl,0
TS,9S,TD,QD,9D,QS,6D,7S,6S,JS,jrb,8S,9
4D,8C,AC,AH,TH,7D,6H,AS,JH,TS,John P,7H,10
QS,KS,KD,9S,JD,4H,7D,5D,9H,7S,Chris,7D,5
KD,TD,4D,TS,JD,AS,6D,7C,AC,9C,Zach,8D,7
7S,KS,8S,9H,QC,KH,AH,JC,4H,AD,Chris,6H,8
TD,5H,TC,KH,8S,7H,5C,AC,6H,JJ,Zach,7H,10
6D,QH,5C,9C,KS,4D,TH,4H,7H,9H,Zach,Nl,2
AS,JH,9C,KD,8S,9H,7S,8D,AD,AH,Chris,8S,7
4D,7C,JH,JD,TH,6D,KC,7D,KD,TD,Zach,8D,10
AD,7S,6S,JD,4S,6C,7C,4C,JH,5C,Chris,Nl,0
AC,7H,KH,JJ,9C,KD,AH,QH,6H,4C,jrb,8N,10
JH,7D,5H,TH,KC,JD,QD,TC,8H,QH,John P,7H,9
KH,JD,9H,4H,QH,7C,AS,5H,6S,8H,Mike,7H,8
7C,JS,AD,TD,KD,4H,KC,9C,8D,JH,Zach,6D,6
4C,6C,AS,8S,5C,8C,KS,5D,JH,QH,Zach,7N,9
7H,7D,TH,TS,TC,QD,JH,5D,QC,AH,Mike,7H,3
4S,AH,4D,JH,AD,8S,QS,4H,JD,TH,Mike,7H,9
JS,9D,TD,5H,8D,4C,4D,7D,6C,7H,Mike,No,1
6D,KS,JH,QD,TH,5S,8C,KC,QC,6H,jrb,6H,4
9H,8H,TC,KH,8S,TS,QH,4D,QD,AD,jrb,7D,8
5C,6S,AC,KC,QS,4H,TD,9C,TC,6C,Mike,7C,9
JC,AS,TS,9S,6C,8C,KH,AD,JH,7C,jrb,7C,4
AS,4H,5C,JD,5S,KH,7S,7C,KD,4C,jrb,Nl,0
5S,KH,AH,AC,JS,6D,JD,8H,4H,JH,John P,7H,9
KD,JD,JJ,AD,JS,TS,TC,QC,QS,TD,jrb,7D,8
7C,JS,JC,KH,AH,AC,QC,KD,5D,9C,Dani,8C,9
8D,KC,7D,7C,JD,QC,JJ,AC,6H,6S,Chris,8D,10
5D,7S,QH,9S,4H,AD,KC,TS,6H,JC,Chris,6C,5
4C,4S,6H,7S,8C,5D,QC,QH,9C,5S,John P,No,0
QS,KH,AH,4D,KS,5C,QC,AS,TC,JD,Dani,7H,9
JH,6D,TH,Jr,4S,Jb,5D,9H,5H,QD,jrb,8H,9
6H,QD,8S,TS,4S,5D,7C,KD,5H,JD,jrb,6D,7
JH,7S,AS,7H,JJ,6S,QH,JS,8S,5H,AME,7S,6
JH,7S,5C,QC,KH,JS,QD,KS,6S,QS,jrb,7S,8
KC,5C,TD,7H,TC,QC,AD,5D,8D,6S,jrb,8C,10
5C,9S,8D,AC,JS,5S,9H,4S,AS,TS,jrb,7S,8
TS,5S,9D,4C,5D,AS,4D,8C,JJ,JH,jrb,8D,9
6D,6C,KD,AS,TC,KH,TS,AD,JD,7H,Becky,6N,5
6D,6H,QH,9C,8C,JJ,TH,JS,JC,JD,jrb,7C,10
AS,KS,6H,KD,4H,TS,6S,6D,9H,5S,Zach,7N,7
JJ,9D,JD,6H,9H,4C,AS,JC,7H,QS,John P,7H,10
JC,5S,8S,6H,AS,JJ,4H,8D,AD,KC,Mike,7C,7
TS,JC,9S,JD,5H,4C,5S,KS,5C,6S,John P,7S,8
QC,9S,5S,5H,7D,KD,QD,4H,JH,TD,jrb,8D,7
4S,9H,QD,JH,KH,7C,7H,8H,TD,8S,John P,8H,5
KS,4D,6C,AH,4H,JJ,TS,QS,JD,6H,Chris,8H,10
KS,4S,5C,JD,5H,8D,JH,AS,4H,TH,Chris,7H,10
AC,AD,7S,6H,7C,JH,KS,TC,KC,JD,Mike,7D,10
JD,KD,AD,TS,JJ,8H,4C,JC,4D,6S,Chris,7D,10
8H,AH,TD,QH,AS,AD,TC,5H,5S,JH,Mike,8H,9
QD,8D,JJ,7C,6D,KC,8H,JC,5D,6H,Mike,7C,8
9D,TC,4H,5C,KH,JH,TD,AH,QH,4D,Chris,7H,9
JC,5S,AS,4D,6D,4H,6C,7C,4S,6S,Chris,No,0
QS,AC,JC,8C,7S,6C,QC,9C,KS,TC,Chris,8C,10
KH,4H,4D,AC,QD,Jb,JD,5D,7D,AD,Mike,8D,9
6D,TS,8H,AC,AD,4D,KH,AH,JH,6H,Mike,7H,9
8H,8C,QH,AH,6H,AD,5D,9H,6C,8D,jrb,7N,6
7S,AD,7H,9S,TH,JJ,AC,QS,JS,6H,Mike,8S,7
JD,7S,4C,QH,6S,6C,6D,4H,8D,AS,jrb,6H,5
8S,7D,8D,KS,AH,6S,JD,JJ,KC,JH,Chris,8D,9
TS,KS,9H,JD,5H,JH,AD,7H,KD,JC,John P,7H,9
AC,6S,5S,9D,7S,TS,AS,JS,KS,8S,jrb,8S,9
8C,KD,9S,JJ,4D,KH,6D,7S,QD,5D,jrb,6N,8
5C,QH,4C,5S,9D,8C,5H,KC,JH,QC,Mike,Nl,3
TD,4C,AH,5C,7S,5H,6S,JH,7D,TH,Chris,6H,9
AC,5D,QC,7D,4D,4H,AD,6S,JJ,7S,Mike,6C,9
QC,8S,QS,AS,AC,JC,6C,TS,4S,6S,jrb,7S,9
9C,JS,5H,4S,4C,TD,6H,JJ,6S,AD,Chris,7S,7
TH,JJ,4C,JS,QH,AH,JH,6S,7S,4S,Mike,7H,6
JS,8C,7D,4S,AC,QD,JD,TC,QS,6D,Chris,7D,7
JJ,4C,KH,JH,7D,TS,4S,JS,8D,7S,Mike,7H,5
QC,5S,9C,AS,KD,4H,8S,8C,4S,6S,jrb,Nl,2
JD,JS,4S,9D,5D,8C,9H,KH,KD,6H,Mike,7D,5
JC,JD,QD,7H,8C,TD,9S,JH,9C,8D,Mike,7D,10
TC,7D,JD,TH,4H,8H,9D,KS,AH,5S,Chris,7H,7
7H,6C,TC,JC,TH,6D,9C,4C,5H,5S,Chris,No,0
6S,6H,4D,9C,4H,8H,7D,KS,JS,7S,John P,No,0
KD,JD,JH,9D,5C,KS,AD,7C,TS,4H,Zach,7D,9
KD,QS,4H,JH,JS,6D,QH,5H,4S,9H,Chris,7H,6
5C,8D,4C,JS,6D,AH,TS,4D,5H,5S,Zach,Nl,0
AD,8C,JJ,6D,7H,QH,5D,TC,KH,5H,Zach,7H,9
5H,JH,TH,AD,JD,8C,7D,KS,8H,QS,John P,6H,7
4C,AC,5D,5S,6S,KS,JC,JS,8C,KC,Mike,8C,9
AH,4C,8D,JJ,JH,7C,8S,QS,TC,4S,jrb,7H,7
7S,KD,JJ,QD,QC,4D,6S,7D,6H,AD,jrb,8N,10
6D,QC,AS,5H,TC,JH,4D,6H,9C,KD,John P,Nl,7
5S,6H,AH,6S,9C,JD,8D,QD,QS,QC,jrb,7H,7
TD,AD,4D,TH,4C,JD,6C,AS,KD,KH,jrb,7D,8
9H,JS,TS,6H,TD,KC,8S,6S,4C,9S,Mike,Nl,4
AC,KS,7S,8H,KC,TH,8D,9H,5H,QC,Mike,8C,5
KC,AH,5D,AD,7S,7H,JH,6C,5H,9C,jrb,7H,9
JD,QD,TD,5S,QC,JJ,9C,5C,6H,JC,Mike,7C,6
5S,AH,4C,QS,AC,AD,JS,TD,6S,6D,John P,7S,9
AD,6S,JJ,KS,JH,AC,TS,8D,4S,5H,Mike,7N,10
4S,5D,KD,4D,7C,4H,QH,6D,TH,JH,Mike,No,0
5D,9C,JS,AC,TH,8C,JJ,6S,AD,KD,John P,8C,10
8H,QH,5H,JJ,KC,5C,9C,QD,JH,9H,Mike,7H,7
AS,AC,TS,JC,JH,KH,5C,AH,7S,5D,Zach,7C,7
6C,9C,QC,AH,7D,5S,7H,JJ,8H,JC,John P,8C,7
9S,KD,7D,JD,JC,QH,QS,9H,AC,4H,Zach,7H,10
QD,JJ,7H,JC,QH,7D,KC,6C,JH,QS,Zach,7C,5
AS,5C,7H,5D,9D,KH,4C,JD,4S,QC,John P,Nl,0
5D,AC,7C,JS,JH,8D,9H,TH,JC,4C,Little John,7C,9
TD,QH,AH,QC,AC,7S,8H,JH,8C,9S,Little John,7H,6
4D,TS,JD,9C,5C,QC,4H,9D,6H,AC,Zach,Nl,0
9C,8D,6D,JJ,KC,5C,9H,AC,4D,7C,Zach,7C,8
8H,7S,JJ,5C,5S,7D,JD,AS,6H,KC,Zach,8D,8
7D,7S,JC,5D,AH,6S,JS,8D,QS,6H,Becky,8S,6
AC,4C,5H,9D,QH,9S,JD,6S,8H,5S,John P,Nl,0
JH,QH,JC,5S,6S,9C,TC,4C,6D,TS,jrb,7C,4
JH,AC,QD,AH,7H,QS,5H,JD,TC,KH,Mike,8H,8
7H,4C,5H,7C,4H,QD,8H,6C,TD,JH,jrb,No,0
JH,TD,9C,4C,JJ,7C,TS,9H,4D,7S,Becky,Nl,0
9C,9H,4D,TS,4C,KH,6C,JD,TD,JH,John P,7H,8
5H,9S,QH,JD,5C,8D,TC,TH,8C,KD,John P,6H,5
9D,JS,5C,6D,AD,7D,6S,KS,4H,AS,Mike,8S,10
KS,8S,AC,TC,QH,6H,5S,JH,9H,TH,Mike,7H,7
JS,KD,TD,QC,6C,KC,4C,JC,AC,6H,John P,8C,10
JD,5D,6C,KC,AC,7S,JC,9H,TD,8D,Mike,7C,6
8S,6H,5D,9S,9D,4C,TH,6S,8C,JD,jrb,7D,7
8C,6C,AH,5D,JJ,5H,4S,7C,8H,6D,John P,Nl,2
8S,TC,KC,JS,JJ,TD,7S,QH,5D,QC,Mike,7S,8
4C,5S,5D,5C,AH,4H,JD,QH,6H,KC,jrb,Nl,0
7H,9H,5S,4H,9S,8C,6S,AS,KD,5C,Mike,No,0
7D,TC,JJ,TH,QD,KH,JC,KC,4C,9S,John P,7N,9
TS,KH,QH,KD,6D,7H,QD,JH,TD,9H,John P,7H,8
JJ,5S,4D,AS,JS,9D,QC,9S,5C,AC,Mike,8S,9
6H,7D,KC,5H,AD,5D,8D,4S,QC,KS,Mike,7N,7
KH,AD,TC,5D,AS,9S,AC,4S,KC,4D,jrb,7N,10
JH,KC,AC,8H,TH,4D,7D,TD,AD,JS,Becky,7C,8
7D,QD,7C,AS,6D,JC,JJ,QC,AD,6S,Mike,7N,8
KH,KD,JH,6H,5H,5C,9D,TH,TD,KS,Becky,6H,7
TS,5H,AD,7D,QC,4S,QS,8D,TD,7S,Mike,6D,8
AH,JJ,KD,4S,AS,TC,4C,5C,QH,QD,Becky,7N,8
4S,9S,8C,AC,KD,JH,6H,KH,9H,7D,Mike,7H,6
JJ,4S,5D,TH,5C,QD,7H,9S,JD,KH,becky,6H,7
JH,QH,5D,TS,AS,9D,KD,AD,5H,KS,John P,7H,8
TD,8C,9H,AS,KH,5S,6S,JD,JS,QC,Becky,6H,4
8D,AS,QC,6C,9C,QH,AH,JH,8S,7S,jrb,7H,6
8C,9S,7H,7C,4S,QC,JJ,AS,6H,AH,Mike,8C,10
4H,TH,AH,4S,9D,6H,4C,5S,9H,JC,Becky,7H,7
AH,TS,4C,JD,6S,4S,TC,5C,4H,9H,Becky,Nl,1
7H,8D,5S,4S,QC,8H,8C,AH,5C,9C,jrb,Nl,0
JD,5S,9H,8S,9D,JJ,KD,KS,JC,9S,jrb,9S,9
7H,KH,6C,4H,9C,TD,TC,AC,QC,JC,John P,7C,8
TS,8C,KH,4H,4C,7S,AH,QC,4S,8D,Mike,Nl,0
QH,4S,TH,5D,JS,5C,JJ,4H,QC,KS,Chris,7S,4
9C,JJ,6C,JS,8H,KD,AC,AD,4C,6D,Mike,8C,7
9S,8H,TS,QH,JD,QS,6H,JC,AD,KD,jrb,7D,4
9H,TH,5C,5S,4S,7S,JC,TC,KS,TS,Chris,8S,6
TC,JH,4D,7D,QS,6C,JS,QD,AC,JJ,John P,7C,8
JC,9D,5C,KC,TS,QS,6C,JS,TC,QD,Chris,8C,6
5D,6H,5S,5H,7H,JC,9S,JS,KH,4D,John P,No,0
JS,TD,6C,5C,KH,QC,KC,AC,9C,5D,John P,7C,8
KS,AC,JD,7H,8H,AH,4D,5D,6H,8C,Zach,7H,9
KH,QH,9C,5H,JD,KS,8D,JJ,5D,6H,Zach,7H,6
KD,KS,9H,7S,TS,9D,KH,6D,7H,JD,Chris,7H,10
JD,QH,6C,QC,KC,5S,JC,AC,AH,JH,jrb,8H,10
QS,6H,5H,4C,QC,JD,6S,7H,TH,9H,Zach,7H,9
4S,AD,4D,5D,AS,TH,AC,9C,6D,JD,jrb,7D,9
TC,6S,AD,6H,7D,JC,8S,AC,TD,9C,Chris,7C,9
JD,5H,9S,8H,TD,TS,QD,4S,AD,KH,Chris,7D,8
7H,AC,6H,7C,AH,AD,6C,QS,5D,KH,jrb,7N,6
9D,7H,6D,5H,QS,JJ,JC,JH,4C,TH,Mike,7H,6
