C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
5H,8H,4S,4H,4C,KS,4D,QC,AH,5D,John P,No,0
AC,4S,7D,6S,8C,6D,QD,9S,8D,JD,John P,Nl,0
QC,5H,9H,KD,5C,AS,7D,9C,JC,4S,jrb,8C,3
KH,AD,7H,TH,JJ,QS,QC,8H,5C,7S,Chris,7H,9
QD,AH,7H,AS,QC,8H,JJ,JS,9C,8D,Chris,7D,7
JD,JS,KD,5D,AD,QH,4D,TH,AC,JJ,jrb,8D,10
QS,7D,6S,JS,TS,AC,5H,7H,6D,5S,John P,Nd,0
9D,JH,KH,4S,AS,AD,JD,TC,AH,8H,jrb,9H,9
5S,8S,JD,8C,TD,7C,4C,QD,AC,KS,jrb,7D,4
TS,7H,4D,7C,JJ,AD,AH,9H,7D,5S,Becky,6N,5
JH,JC,4C,5C,QH,TC,5D,9D,7H,4D,jrb,Nl,0
7H,JH,AS,5S,9D,JC,KS,5C,5D,4C,Mike,7S,8
6S,AC,7S,5S,KD,6D,TS,AS,5C,6C,John P,Nl,0
6D,4H,QH,JH,5D,7D,9S,AH,8C,TH,Dani,7H,7
8D,5H,QC,AC,8C,QD,JJ,4C,AH,JS,jrb,8C,8
8S,KS,5H,7S,9S,AS,TH,KC,JJ,AD,Chris,8N,9
JH,5S,JC,4C,7H,KH,8H,6D,QH,TH,jrb,8H,5
JD,6S,6H,5C,5S,4S,AH,4D,8C,TS,jrb,No,0
5H,QS,KD,7H,KH,AH,7S,4H,QH,JJ,Dani,7H,7
AS,8C,AH,TC,QC,QS,6C,9D,5C,AC,jrb,7N,5
5S,AD,5H,QH,JC,7H,7S,QC,9H,8S,Chris,6H,9
AH,JC,9S,5C,6S,9C,TS,KS,AS,8C,Chris,8S,8
7S,7C,JJ,TD,TH,QH,6H,QC,KH,TS,jrb,7N,9
4S,9C,5D,TS,JC,7C,7D,AH,JH,7S,matt,7H,4
8S,JJ,6H,TS,TH,JD,JS,AC,TD,QC,Chris,7S,7
AH,9D,7D,QC,5H,AD,8D,KC,8S,JC,Chris,8C,10
QD,QS,7S,5S,4S,JH,KH,8H,7C,AS,jrb,7H,5
TS,AH,8C,8H,5C,JS,JC,JJ,9C,TD,John P,8C,10
KD,9D,7D,8D,JD,JH,9H,4H,KC,AD,jrb,8D,8
JJ,JH,QD,7H,KS,6H,4S,4H,7D,QC,Little John,7H,10
QH,AH,KH,8H,JH,6S,7S,JD,7D,QS,Mike,8H,10
JD,KH,7S,8H,KS,6H,AH,QS,8C,7H,John P,7H,8
4H,4C,5H,9C,QH,8H,5C,KS,5D,6C,Mike,No,0
AC,KD,TS,4D,9D,AD,5D,6S,QD,JH,Little John,8D,9
JC,9H,JD,KC,8C,6D,QH,JH,9S,AH,Little John,8H,10
4S,5H,5S,JS,6H,QH,7D,7S,6S,JJ,jrb,Nl,0
JS,QD,AD,JC,AC,TH,5C,9D,8D,KD,jrb,8C,9
4S,9D,7S,JH,QS,9S,9H,KH,TS,5H,Becky,7D,7
TH,4S,6S,5C,6H,6D,5D,KD,KH,KS,Mike,Nl,1
JS,QC,5D,JC,9D,9S,5C,QH,KH,JH,John P,8C,8
KS,6D,5C,7C,5D,JJ,TD,5S,JD,6S,John P,Nd,0
AD,5H,9D,JS,JJ,KC,6S,7D,TC,KD,Mike,7C,9
8C,KD,4D,TC,6H,9H,JD,TS,AC,6D,jrb,7D,6
AS,TD,8S,TS,7C,JC,QS,QD,4C,TH,jrb,7S,6
QC,TH,6S,6H,4D,4H,7S,TC,9D,QS,Becky,7N,5
TC,9S,8H,QH,9C,9H,JC,TS,QC,JS,John P,7C,6
JS,7C,TS,JC,8D,TD,JH,9C,KH,4S,jrb,8C,6
7S,TH,8S,QC,QH,9S,4D,7D,5D,AC,Becky,No,1
QC,5H,7C,KS,AS,JD,QD,9D,QH,AH,John P,6H,5
9C,7C,7H,QS,4S,JC,AH,7D,TC,QC,Chris,8C,10
8C,9C,5S,KS,6H,TC,JS,AC,JC,QH,John P,7C,8
JC,KC,TS,AC,KD,TH,6S,6H,QC,4S,Becky,7C,7
8H,9D,4H,9H,KC,KH,5S,5D,JH,QS,John P,Nl,0
4C,KD,7S,9H,TC,9S,8H,AC,4H,KS,Becky,8C,5
QS,6S,KC,AS,9H,KS,AD,5C,KD,JS,jrb,7S,8
6D,8D,5C,AH,8C,JS,8H,JJ,KC,7C,Mike,8C,10
5D,9H,KC,9D,8H,JJ,AC,4D,6D,QH,jrb,7D,8
8C,QH,8H,8S,9D,5C,4C,KH,4D,AH,Mike,7N,9
JJ,9H,JC,AH,AS,TD,5H,6D,KC,JD,jrb,7H,10
6H,JH,AD,AH,8S,QC,AS,9D,7H,KC,jrb,7H,9
9H,JC,6H,JJ,TC,4D,5D,4C,7S,4S,Mike,8S,8
KD,KC,7D,QH,AD,AS,KH,AC,8S,KS,Becky,8N,8
8H,JD,KS,7S,JH,5C,AD,TH,6C,7H,Mike,7H,9
QD,4H,5S,6C,9C,9H,AH,TS,JH,AD,John P,6H,10
8H,4S,KC,QC,5C,5D,5S,9S,8S,JH,John P,Nl,0
AH,5S,4S,7S,AS,4H,JJ,TH,4C,6D,jrb,No,0
TS,JS,6C,5H,JD,8D,KS,JH,KH,TD,jrb,7H,5
7S,7C,6C,8H,JC,AC,8S,TH,JD,7H,Mike,7C,8
9S,6S,4H,QH,JD,7C,6C,JJ,7D,8H,Mike,7H,7
JC,TC,AD,QD,4S,9S,QC,AH,8H,8C,jrb,7C,9
TD,TS,6D,JH,5D,5S,JC,8C,6S,5H,John P,Nd,2
KC,TD,QC,JC,AC,AH,6C,9D,TS,7H,Mike,7C,7
7S,5D,8S,5S,QD,4C,7H,JH,5H,JC,Mike,No,0
9D,4H,7D,KD,8C,5S,6D,5D,4D,TH,jrb,No,0
9D,JJ,7H,TD,QH,6D,AH,9C,QC,KS,Mike,7N,8
5C,AH,7S,9D,6S,TC,4S,6H,AC,TS,Becky,7N,4
AS,TS,JJ,8C,4C,5S,7H,9C,8D,QC,jrb,7C,9
5C,6H,KD,JH,6S,8H,9H,AC,9D,4H,Mike,8H,9
7C,4C,AD,TC,AS,6C,7S,9C,KS,4D,jrb,Nd,3
TH,9C,6C,4C,4D,TS,7C,4S,5H,QS,jrb,Nl,0
8S,AH,8H,6H,KC,TD,QC,9H,JH,6D,Mike,7H,7
5C,6D,4C,TH,4D,KS,TD,5H,6S,9D,jrb,No,0
AD,KH,TH,QD,8H,KD,AH,JC,6S,8C,jrb,7N,9
JC,6S,QS,7C,7S,JS,JJ,TC,8S,6H,Zach,8S,10
9C,7C,AC,TC,4C,6H,9S,AH,JS,JD,John P,8C,9
6H,QH,7D,AS,5D,JH,5C,AH,9D,TS,Becky,7N,5
6H,8H,JS,4C,JJ,QD,AH,7C,JC,6C,John P,8C,9
5C,TD,TS,6D,8H,6C,4S,6H,JS,KS,Mike,Nd,1
JS,KH,7S,QD,4H,4D,JH,QS,9C,7C,jrb,7H,8
JD,KC,AC,7C,6H,9C,6D,9D,6C,7S,John P,7N,5
4S,8D,9S,QS,TC,TH,KD,JJ,6D,QC,jrb,6N,6
JH,4H,7H,4S,8C,TD,5D,JC,9D,TH,Mike,8H,7
JJ,TS,9H,4C,6S,5D,JD,6H,5S,QS,Mike,8S,6
6S,6C,4C,QH,9D,AS,8C,AD,8S,QS,Mike,7H,4
TS,JJ,KH,QD,TC,7D,JH,8H,7H,9D,jrb,7H,7
6S,4C,QS,8S,QC,7S,5C,KD,KC,6C,jrb,Nl,2
JC,7H,8C,QH,JH,5D,JD,KS,8H,6C,Mike,7H,9
JC,5C,5H,7C,7H,JJ,8C,4D,5S,9C,Mike,7C,8
JJ,AH,5S,TS,6S,7S,JH,7D,4S,6D,jrb,No,4
7D,QS,JJ,QD,6D,KD,5S,4S,8D,JC,jrb,Nd,6
7S,QS,4H,QD,TS,7D,6D,6S,JD,4D,Becky,No,0
KH,KS,TH,TS,8H,4H,6H,5S,JJ,KC,Mike ,8H,10
8S,7D,9S,8D,6D,KC,TD,AC,6C,JC,jrb,7C,5
7S,6D,8C,9C,5S,5D,AS,4D,9S,6C,John P,No,0
7H,JS,5C,7C,AS,QD,KS,4C,JH,AC,jrb,7H,8
7C,JS,TC,7H,KS,AS,7D,9D,QS,JD,jrb,7S,8
JD,JJ,QC,6H,8D,KH,6S,8H,AD,7H,Becky,7H,7
5C,9C,KH,6C,5D,4S,JS,9S,KS,8S,Mike,Nd,4
TC,7C,5C,5H,4D,5S,QH,5D,9D,6C,John P,No,0
KH,9D,9H,TD,6H,5C,AH,4H,AS,4C,John P,Nd,0
QC,KH,5H,4C,9D,JJ,TS,TC,7D,KC,Mike,8S,8
5S,AD,KS,8C,5C,QD,8H,7S,QS,TS,Becky,Nl,0
JC,4C,QH,6H,KC,TC,4H,AC,8H,6C,Mike,8C,5
KC,TC,AC,4C,7S,5H,6H,8C,7C,4H,John P,No,0
KH,KD,6D,KC,7H,AS,QH,TS,QS,4D,jrb,7H,5
4S,8C,6S,AH,JH,6H,6D,6C,5S,7S,Little John,No,0
7H,JH,8D,7D,6C,KH,9H,TD,QD,5H,John P,6H,6
8S,QD,AD,JC,JJ,QH,6C,9C,JH,5S,Little John,7D,8
8D,TD,JH,TH,JS,5S,4C,6C,6S,9D,jrb,Nl,0
JH,5H,AD,7D,QC,KS,JD,8S,9H,6C,Mike,7D,8
6D,AD,6C,KH,7D,QH,4H,KC,JJ,4C,Little John,7H,8
8C,QH,5C,9D,6D,9H,KS,7H,JD,JJ,jrb,7N,7
JC,7H,QD,AD,8S,9H,QS,AS,AC,7C,jrb,7N,3
8C,8S,AD,5S,QS,7H,5C,9H,AS,4S,Little John,No,0
5H,9D,QD,KH,AH,AD,9H,JC,KD,7D,jrb,7N,10
5H,9C,4H,6D,6H,JC,6C,6S,QC,9D,John P,No,0
JS,TD,6C,JD,KD,KC,5H,AH,5D,KS,Mike,6D,6
AH,7C,5S,JD,QD,QS,JJ,KS,6H,TH,jrb,7H,8
JH,5C,KS,JJ,7H,KH,4D,AH,QH,4S,Little John,8H,10
7D,TD,JJ,8C,JC,5S,QS,AH,6S,6D,Mike,8C,6
7S,QC,KD,9D,KH,9C,JC,AS,TC,KC,Mike,7C,9
9H,KC,6H,TH,JD,4C,AC,5C,JC,5D,Mike,7C,9
AD,7D,QH,4C,9S,6S,JJ,5D,7H,4D,Little John,Nd,2
QD,JC,9D,6D,5H,6C,QH,6H,5C,KC,Mike,7N,5
JJ,AS,9D,6H,JD,KC,4D,TC,KD,6C,Little John,7D,6
5D,KD,8S,5S,TS,4C,6H,AH,8D,AD,jrb,No,0
5S,6D,4D,AH,JD,7S,4S,KD,9H,QH,jrb,7N,4
4D,8S,5S,4C,4H,KC,JJ,QC,7C,KD,John P,No,0
KS,AS,5D,6C,TC,4H,KD,7S,AH,AC,Becky,7N,8
KC,6C,8H,AH,4H,QD,8S,4C,JS,5S,jrb,7C,10
6D,9S,KD,5C,5H,8H,TC,AC,7D,KH,Mike,8H,8
JJ,JS,7S,6S,8S,9S,JH,4D,JD,QC,Mike,8D,9
8S,JD,4H,9H,9C,JJ,QC,JS,QS,AC,Little john,7C,8
6C,4D,7H,QC,8H,7D,4S,AS,8S,KC,Mike,7N,6
JJ,KS,JD,4C,KH,9D,QS,9S,TC,KC,jrb,7N,7
7C,AS,QC,JH,JD,JJ,TH,QS,4H,6H,John P,8H,10
4H,8D,6H,6S,7S,7D,JJ,AH,4D,KS,Little john,7H,7
KC,6S,8C,7S,TD,4H,JH,TC,JC,QD,Little John,7C,9
5S,TS,JH,9C,QS,8D,QC,4C,4D,JS,John P,Nl,0
9D,KD,JC,QC,JD,4C,6C,JH,7C,AC,Little John,8C,8
7D,QH,JJ,JD,JH,AH,AS,9S,QD,8D,Mike,8H,10
6C,KC,9C,TC,4S,4H,JJ,4D,8D,TD,Dani,Nl,0
9D,JS,4S,QC,TS,JC,6D,7C,AD,6S,Dani,7S,10
5S,6C,4H,4S,9S,6H,QS,5C,7C,TH,Little John,Nl,0
KC,5S,AC,AD,5H,TS,AH,7H,5D,4D,Mike,7H,8
KC,TS,8S,AC,QC,8H,7C,KD,JC,6C,John P,7C,6
KC,AS,JC,AC,4S,5H,5S,8C,JJ,AD,Mike,8C,8
4S,TD,TH,5C,5S,4H,QS,4D,TC,9D,Mike,Nl,0
KS,4C,6D,AC,AS,9H,JC,5S,7H,9D,Chris,7S,6
JC,KC,4D,6C,TC,9D,JS,KS,JD,6D,jrb,8C,9
QD,6C,AH,TD,JH,KS,6H,AD,9D,9H,Zach,7H,9
JC,6D,JS,6C,8D,5H,QC,AD,TC,KD,Zach,8C,9
4H,QC,QS,6S,7D,7C,4C,JJ,9S,7S,Chris,7S,8
KC,4D,TS,QS,JJ,KH,5C,TD,6C,5S,Little John,8D,10
JJ,9H,AD,9C,JH,QH,9S,TD,JD,AS,Zach,7D,8
4H,8S,KC,6S,TS,KH,AH,JJ,9S,JH,John P,7H,8
QH,KD,TS,KS,JC,7S,8D,QS,9S,8C,Little John,7S,9
5H,KC,QC,AS,JS,6D,7D,9H,JJ,5C,Zach,7C,7
7C,8D,TH,7S,TC,JC,4D,TD,6D,7H,jrb,Nl,0
QS,9H,JS,4S,JJ,KC,KD,5D,6S,9D,jrb,7S,8
6S,TH,TS,7D,5D,6D,KC,JD,8D,AD,Mike,8D,7
7C,6H,JH,5C,5H,8C,6S,4C,QH,AH,Mike,8H,6
6H,AH,JH,AC,QD,9D,7D,5S,4H,AS,Mike,6N,7
KH,6D,5D,5H,9S,4D,KD,8H,KC,8C,jrb,Nl,0
6H,QH,4C,KS,9H,7S,AD,8D,KD,KH,Mike,7N,6
8H,9C,KC,4C,9H,9D,AD,TH,4H,6C,John P,Nd,5
AC,6C,JS,7S,JD,4D,4S,TD,KD,QH,Mike,7D,9
JC,6H,TD,8D,8C,AD,8S,JS,4C,KC,jrb,8C,9
9C,6H,JH,8D,KS,TS,JD,8H,4H,5S,jrb,8H,8
8D,TH,QC,AH,7C,7D,KD,7S,AD,9D,Zach,9H,10
AC,4H,JH,7H,8H,9H,TS,JD,9C,6H,jrb,8H,8
TC,6S,KS,AD,8S,8H,JS,AS,4H,4S,Mike,7N,8
5D,TC,4D,TH,4C,9H,6S,TS,6D,TD,Zach,No,0
6C,QH,6D,TC,8C,JC,5C,AC,4S,KD,jrb,9C,8
AH,7D,8D,QH,4S,6C,5C,7C,KH,TC,John P,Nd,2
AD,KC,QC,JD,7S,JH,7C,9C,5D,JS,Mike,6D,7
JC,5S,8S,TH,7S,8C,QD,TC,7H,AS,jrb,7S,9
AS,9S,TD,7C,5C,QC,QH,JC,8H,JS,Becky,7C,7
4D,7S,AH,JS,9H,JJ,8D,5S,TH,JH,Mike,7H,10
6C,4H,8D,AS,QD,AD,TD,JJ,KD,5D,jrb,8N,10
TH,7H,4C,TD,KC,AC,7S,AD,KS,JS,Mike,7N,9
JD,TH,KS,7D,JC,8H,6C,8C,KH,JH,Mike,8H,7
JD,8H,AC,KS,JH,QH,7S,7H,QC,TD,Becky,7H,9
QS,JS,8S,8C,AC,5S,TS,AS,7H,KC,Becky,9S,8
5S,JS,AS,QS,4S,7C,7H,KH,TH,QD,Mike,7S,7
4H,AD,TS,4D,7S,JJ,QH,KH,KS,4C,John P,7N,8
7S,TS,6H,QC,6C,JS,8C,7C,TH,5S,John P,Nd,4
QS,9H,6S,JC,4C,KD,KS,JH,JD,QC,jrb,7D,5
KC,6D,QD,8C,JD,9H,JJ,9C,AH,AS,Mike,7N,7
KC,TC,4S,8C,9C,TS,4C,8H,5H,8D,John P,Nd,0
5S,4S,6H,8D,KS,5H,TH,AS,8H,KC,Mike,Nl,1
5S,9S,5D,JS,8D,QD,6S,TC,4C,9C,jrb,Nl,0
9S,QS,TC,4S,AC,4H,JS,KH,AS,5C,Mike,8N,8
JH,AH,KS,7H,AD,JJ,KH,QC,QS,6D,Mike,8H,9
TH,4D,4C,KS,7S,KC,5D,6D,JC,KH,John P,Nl,0
TD,6S,AC,4C,AS,KD,5S,TS,5H,8S,Chris,No,0
AS,5D,JS,8H,4H,6C,KC,5C,9D,TS,John P,Nl,1
4S,9S,AS,QD,KD,TD,QS,AC,5H,8C,Chris,6N,9
9D,AC,6D,5C,JS,QD,TC,TH,7D,6H,Chris,7S,6
JD,6H,JJ,7C,QC,AH,AC,KH,9C,6C,jrb,9N,10
8D,6C,7S,JJ,5S,AH,6S,QD,6H,JD,Chris,7H,8
8C,TH,4D,JS,6H,TC,9D,7C,QC,JC,Chris,8C,10
4S,JC,JS,AS,KD,9S,AH,AC,AD,6H,Chris,7S,10
4H,AS,7H,QS,JC,9D,JJ,6D,KS,AC,Mike,8S,8
4S,5H,KS,5S,8S,4C,7S,JS,9D,6D,jrb,8S,6
QH,5C,6D,TS,6H,5S,4D,KH,JJ,JH,Mike,7H,5
6C,TS,4S,KC,4C,7D,QC,JD,5H,6D,jrb,6D,6
5C,6S,KH,AS,4D,JJ,6D,TC,AC,AH,John P,7N,10
AD,KC,7C,KS,TD,AH,JJ,6H,TC,5S,Becky,7N,8
KS,TH,KC,TC,QS,TD,JJ,AD,AC,5C,John P,9N,9
QC,7S,5S,TS,TD,7D,JH,6C,5D,4S,Mike,Nl,0
9C,QS,JC,JJ,7S,8D,6D,9D,6S,4S,kitty/rich,7S,5
5H,JH,8S,QD,6D,4S,8D,QS,5D,KH,Majda,7D,7
7C,4S,8S,JD,TC,TD,KS,8H,4H,5C,jrb,Nl,0
QH,7H,7C,9H,4H,QD,QS,JJ,9S,7D,Mike,6H,8
6D,KS,9S,JD,6S,AH,TH,JH,JC,TD,kitty/rich,7H,9
9H,KC,9S,7H,JJ,TS,JD,TH,QD,7S,Majda,7H,7
6C,TC,AS,9S,KS,5S,QC,4H,JJ,KC,Mike,7N,9
5S,4S,6D,TS,7D,AD,8C,KD,QC,QD,jrb,6N,7
7D,KH,5D,JJ,AC,JC,QD,7H,TS,KC,jrb,7C,9
QC,JS,KD,AC,4S,AS,6H,JH,7H,7D,jrb,7C,4
7H,QH,5C,AC,5S,TH,KD,TS,JD,AH,John P.,7N,8
QD,8C,QS,JJ,8D,6D,KC,8H,9C,5C,jrb,8C,8
6S,8D,8S,4H,TC,4C,9S,4D,QD,4S,John P.,No,0
AD,7S,6H,JC,QH,4S,KC,JD,AH,8H,John P.,7H,5
4C,JH,5H,9D,AC,AD,JC,TS,AH,7C,Becky,6N,9
8D,6C,KS,AD,8H,9C,AS,TS,7C,9D,Chris,6N,5
8S,JC,TH,5S,JH,QD,AC,AH,8C,JD,Ann,7H,8
AH,QD,KC,QH,AC,4S,KD,TS,9D,4D,Mike,6N,7
QD,4D,JC,KS,QH,9C,AS,AD,KC,JH,Chris,8D,7
6S,5C,6D,4C,QS,9C,JH,8S,5S,TC,Zach,Nl,0
KD,AD,AC,JC,TD,JD,JH,AH,7S,8H,Rich,6N,5
6S,TS,4S,8C,8S,5H,KC,9H,5C,5S,jrb,Nl,0
KS,JC,4H,QH,9H,AD,6C,AH,9C,JH,Rich,6H,8
QC,8C,KS,9D,8H,KD,7H,JJ,4C,4D,Zach,6D,6
8S,AD,JD,JS,5D,8H,5S,8D,6D,AH,jrb,7D,6
4H,JJ,4D,TC,5D,JD,9C,QH,JS,6S,Mike,7D,7
8S,TS,QC,AH,AC,TD,9C,7D,5S,TH,Zach,7H,5
8D,9S,9C,5H,JS,9H,6C,4S,7S,5S,jrb,No,0
4H,AC,AD,4C,KS,KH,JS,9C,JJ,QS,jrb,8S,10
JH,7H,AH,6D,4C,5H,QD,4H,8C,9S,Chris,7H,9
5S,JH,4S,5C,QD,JJ,4H,5D,AS,8H,Chris,7H,10
AD,JH,4S,KD,JC,6C,AC,JS,6H,9C,Chris,8C,8
8C,6C,6D,JC,KH,AD,6H,8D,6S,KC,Zach,6N,7
4S,TS,6H,7C,AS,9D,AD,7H,8H,KS,Chris,6N,10
9H,7H,AC,TC,JC,4H,4C,JS,JJ,8H,jrb,8C,10
AD,9C,6D,9H,QD,QS,7D,8D,JS,TH,Chris,7D,7
AD,JC,TH,QC,8D,QS,4H,AS,KD,AC,Zach,7N,6
AC,KC,JJ,6H,6C,7C,4D,9C,8S,5D,Mike,7N,8
7D,6H,8C,TH,QS,JJ,5C,AS,JH,9H,jrb,7H,10
JH,8H,5H,JJ,4S,JC,KS,7D,AC,QS,jrb,7S,6
8D,AH,TS,TD,4D,QS,5H,8H,TH,7C,Zach,8H,8
JH,5C,QH,4D,TH,7H,7D,5S,TD,KD,Zach,8H,9
KC,AH,AC,QH,8C,6S,7C,4C,4D,9D,Mike,7N,6
6H,KC,JS,JJ,7C,AC,9D,KH,JH,QS,Mike,9S,10
JD,4S,KH,8S,8D,4C,KC,TD,7H,JH,Zach,7H,10
AH,QS,QH,7D,5C,KC,6H,TS,AC,JC,Mike,7C,6
QC,7S,AS,QS,JJ,AH,9C,KH,9S,8S,jrb,7N,10
6C,AD,JH,JJ,KH,8S,6S,KS,5D,JD,John P.,7D,9
8D,8S,AD,9C,6C,JJ,4D,6D,KC,JS,Mike,7C,7
KS,QD,9D,5S,KD,JJ,TC,9C,JC,AD,Little John,7N,9
8S,6S,AS,QD,7C,7S,5D,QC,KD,QS,Mike,8N,5
9S,9D,6H,JJ,JD,6D,QS,6S,8D,TS,jrb,8D,8
TD,QS,6H,JJ,9D,QD,AC,JD,KD,7D,jrb,8D,8
5D,JC,TH,4S,JS,6C,6D,AH,6H,QH,Zach,8C,9
9D,8D,JD,AC,TH,4H,QD,KS,9H,KD,Zach,7D,10
QC,4C,KH,QD,QS,7D,6D,9D,6C,KC,Zach,6N,6
4H,8H,9H,8C,KC,4S,AS,7D,JJ,JD,Zach,7H,8
9H,JC,AD,JJ,QD,KS,8D,5H,AC,KD,Little John,9N,8
KC,4H,AH,QC,KH,9H,QH,JJ,AC,7H,John P.,8H,9
8H,TH,JH,QS,9D,KC,KS,KH,6C,9C,Little John,7H,8
6C,KD,6S,QH,AD,8D,QS,JD,7D,QC,jrb,7D,3
AC,4D,7S,6C,4S,TD,AS,5S,KS,9D,Little John,Nl,0
AS,JS,TH,5H,7H,4H,6D,7C,JH,9H,Zach,7H,8
JD,7H,TD,8D,AS,7C,4H,6H,QS,AC,jrb,7D,6
AH,7C,5S,9S,6H,JJ,TD,9C,4H,8S,Mike,7H,7
6H,4D,4H,TD,QH,KC,TH,AD,AS,4C,jrb,Nd,6
6S,TH,6C,KS,AH,6H,KC,JH,JD,5S,Becky,7H,7
4S,7C,KD,7D,JD,6C,QC,KC,4H,7H,John P.,Nd,0
7C,AH,AD,JJ,4S,TC,QC,KH,8H,TH,Zach,7N,8
QS,9S,KD,AD,4S,9D,7H,6S,5H,4H,Mike,No,0
4S,9C,6D,8C,7D,6C,JD,KC,5S,AH,Mike,Nl,0
JS,JJ,8D,6S,8H,4H,4C,KC,7C,TC,John P.,8C,9
JJ,7H,KS,6S,4H,AH,9S,QS,JD,KD,John P.,7N,8
TS,QH,JJ,4D,6C,AC,QD,TH,JD,9C,Zach,8H,8
8S,KC,KS,JH,6S,JS,QS,TS,JJ,QC,jrb,8S,9
6H,KH,4S,4C,AH,5D,8D,7S,4H,9H,John P.,No,0
7D,TC,JH,6D,KD,4D,QH,QC,TD,TS,Chris,7D,9
9C,TC,KS,7H,AS,7S,AC,8S,QH,TD,Chris,6N,10
8D,9H,6D,6H,JC,5C,4H,JS,8H,8C,jrb,Nl,0
5S,8S,TS,JS,9C,5H,AD,6C,KD,JD,Zach,8S,9
9D,6H,TS,TD,AS,JH,JJ,4D,KD,8S,John P.,8D,8
KC,TC,5H,4H,4D,JC,5C,6D,AC,TD,Zach,7C,7
AD,8C,JH,5H,KH,AH,JD,5D,TH,QH,jrb,8H,8
5S,4C,9H,QH,8D,9S,5C,9C,KH,4S,Mike,Nl,1
KH,5C,TS,AD,JH,KS,JJ,5D,JC,5H,Mike,7H,10
QC,5S,AD,JH,4D,AS,4H,9C,AH,AC,Mike,7H,7
4H,5C,6H,8H,6S,5D,9D,9C,7H,4S,Mike,No,0
6D,TS,5C,QH,JD,AH,4C,7S,9S,JJ,Mike,7H,8
AH,8D,7C,JS,9C,QS,AC,8S,QC,5C,Mike,8C,8
9H,AC,JS,TD,QC,4H,6C,8C,AD,4C,Mike,8C,8
6C,JS,JD,JH,AH,8C,TH,QD,9S,4S,Mike,7H,6
7H,4D,JD,4C,JC,TS,5S,8S,5C,AS,Zach,No,0
8C,TH,JH,4S,5C,TC,4H,6D,AS,4D,jrb,Nl,0
JJ,6H,4H,4S,9D,JS,AC,9H,9S,5C,Mike,9N,6
7S,5D,KS,JC,5H,JJ,QS,9D,TC,AC,Mike,7C,10
AS,8C,6H,KH,QD,AD,4S,AH,5H,9H,John P.,8H,9
5D,5S,JD,QC,KH,9S,TC,JC,4H,TH,Mike,6H,8
AD,7C,8H,4H,9D,4C,TC,6C,6S,AC,Mike,8C,6
